SMILES,measured log(solubility:mol/L)
ClCC(Cl)(Cl)Cl,-2.18
CC(Cl)(Cl)Cl,-2
ClC(Cl)C(Cl)Cl,-1.74
ClCC(Cl)Cl,-1.48
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CC(Cl)Cl,-1.29
ClC(=C)Cl,-1.64
CCOC(C)OCC,-0.43
Clc1ccc(Cl)c(Cl)c1Cl,-4.57
C1CCc2ccccc2C1,-4.37
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
Clc1cccc(Cl)c1Cl,-4
Cc1cccc(C)c1C,-3.2
Brc1cc(Br)c(Br)cc1Br,-6.98
Clc1cc(Cl)c(Cl)cc1Cl,-5.56
Cc1cc(C)c(C)cc1C,-4.59
c1(Br)c(Br)cc(Br)cc1,-4.5
Clc1ccc(Cl)c(Cl)c1,-3.59
Cc1ccc(C)c(C)c1,-3.31
Oc1ccccc1O,0.62
Brc1ccccc1Br,-3.5
BrCCBr,-1.68
Clc1ccccc1Cl,-3.05
ClCCCl,-1.06
CC(Cl)CCl,-1.6
FC(F)(Cl)C(F)(F)Cl,-2.74
CCOCCOCC,-0.77
CCc1ccccc1CC,-3.28
O=N(=O)c1ccccc1N(=O)=O,-3.1
CC1CO1,-0.59
Brc1cc(Br)cc(Br)c1,-5.6
Clc1cc(Cl)cc(Cl)c1,-4.48
Cc1cc(C)cc(C)c1,-3.4
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89
Oc1cccc(O)c1,0.81
C=CC=C,-1.87
Brc1cccc(Br)c1,-3.54
Clc1cccc(Cl)c1,-3.04
ClCCCCl,-1.62
CCNC(=S)NCC,-1.46
Fc1cccc(F)c1,-2
Cc1cc(C)c2ccccc2c1,-4.29
O=N(=O)c1cccc(c1)N(=O)=O,-2.29
Oc1ccc(O)cc1,-0.17
C1C=CCC=C1,-2.06
Brc1ccc(Br)cc1,-4.07
Clc1ccc(Cl)cc1,-3.27
CCc1ccc(CC)cc1,-3.75
Fc1ccc(F)cc1,-1.97
Cc1ccc(C)c2ccccc12,-4.14
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
C=CCC=C,-2.09
Cc1cccc2c(C)cccc12,-4.679
C=CCCC=C,-2.68
c1cnc2c(c1)ccc3ncccc23,-2.68
CC12CCC(CC1)C(C)(C)O2,-1.74
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
Nc2cccc3nc1ccccc1cc23 ,-4.22
CC(C)CBr,-2.43
CCCCBr,-2.37
CCCCCCCBr,-4.43
CCCCCCBr,-3.81
Brc1cccc2ccccc12,-4.35
CCCCCCCCBr,-5.06
CCCCCBr,-3.08
CCCBr,-1.73
CCCCO,0
CCC=C,-1.94
CCC#C,-1.24
ClCCBr,-1.32
ClCC(C)C,-2
CCCCCl,-2.03
CCCCCCCCl,-4
CCCCCCCl,-3.12
Clc1cccc2ccccc12,-3.93
CCCCCCl,-2.73
CCCCl,-1.47
CCCCCCCCCCO,-3.63
CCCCCCCCC=C,-5.51
CCCCCCCCCCCCO,-4.8
CCc1cccc2ccccc12,-4.17
CCCCCCCO,-1.81
CCCCCC=C,-3.73
CCCCCC#C,-3.01
CCCCCCCCCCCCCCCCO,-7
CCCCCCO,-1.24
CCCCC=C,-3.23
CCCC(O)C=C,-0.59
CCCCC#C,-2.36
CCCCI,-2.96
CCCCCCCI,-4.81
Ic1cccc2ccccc12,-4.55
CCCI,-2.29
CC1=CCCCC1,-3.27
Cc1cccc2c1Cc3ccccc32,-5.22
Cc1cccc2ccccc12,-3.7
Cc1cccc2c1ccc3ccccc32,-5.85
Cn1ccc(=O)[nH]c1=O,-0.807
Oc1cccc2ccccc12,-2.22
Nc1cccc2ccccc12,-1.92
O=N(=O)c1cccc2ccccc12,-3.54
CCCN(=O)=O,-0.8
CCCCCCCCCO,-3.01
CCCCCCCC=C,-5.05
CCCCCCCC#C,-4.24
CCCCCCCCCCCCCCCCCCO,-8.4
CCCCCCCCO,-2.39
CCCCCCC=C,-4.44
CCCCCCC#C,-3.66
CCCCCCCCCCCCCCCO,-6.35
CCCCCO,-0.6
CCCC=C,-2.68
CCCC#C,-1.64
CC(O)c1ccccc1,-0.92
CCCO,0.62
CCCCCCCCCCCCCCO,-5.84
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47
